"date","Clarke","Barrow","Jackson","Madison","Oconee","Oglethorpe","Walton","Banks","Elbert","Franklin","Greene","Hancock","Hart","Morgan","Putnam","Stephens","Taliaferro","Appling","Atkinson","Bacon","Baker","Baldwin","Bartow","Ben.Hill","Berrien","Bibb","Bleckley","Brantley","Brooks","Bryan","Bulloch","Burke","Butts","Calhoun","Camden","Candler","Carroll","Catoosa","Charlton","Chatham","Chattahoochee","Chattooga","Cherokee","Clay","Clayton","Clinch","Cobb","Coffee","Colquitt","Columbia","Cook","Coweta","Crawford","Crisp","Dade","Dawson","De.Kalb","Decatur","Dekalb","Dodge","Dooly","Dougherty","Douglas","Early","Echols","Effingham","Emanuel","Evans","Fannin","Fayette","Floyd","Forsyth","Fulton","Gilmer","Glascock","Glynn","Gordon","Grady","Gwinnett","Habersham","Hall","Haralson","Harris","Heard","Henry","Houston","Irwin","Jasper","Jeff.Davis","Jefferson","Jenkins","Johnson","Jones","Lamar","Lanier","Laurens","Lee","Liberty","Lincoln","Long","Lowndes","Lumpkin","Macon","Marion","McDuffie","McIntosh","Meriwether","Miller","Mitchell","Monroe","Montgomery","Murray","Muscogee","Newton","Paulding","Peach","Pickens","Pierce","Pike","Polk","Pulaski","Quitman","Rabun","Randolph","Richmond","Rockdale","Schley","Screven","Seminole","Spalding","Stewart","Sumter","Talbot","Tattnall","Taylor","Telfair","Terrell","Thomas","Tift","Toombs","Towns","Treutlen","Troup","Turner","Twiggs","Union","Unknown","Upson","Walker","Ware","Warren","Washington","Wayne","Webster","Wheeler","White","Whitfield","Wilcox","Wilkes","Wilkinson","Worth"
2020-03-14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","7",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","15","0","0","0","0","2","0","0","0","0",0,"0","8","0","0","0","0","0","0","0","0","0","0","4","3","0","13","0",0,"0","2","0","2","0","0","0","0","0","1","0","0","0",0,"0","0","0","0","0","0","0","1","0","0","0","1","0","0","0",0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-03-15,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","9",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","2","0","19","0","0","0","0","2","0","0","0","0",0,"0","10","0","0","6","0","0","0","0","0","0","0","5","4","0","20","0",0,"0","2","0","4","0","0","0","0","0","1","0","0","0",0,"0","0","0","0","0","0","0","2","0","0","0","2","0","0","0",0,0,"0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-03-16,"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","9",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","5","0","22","0","0","0","0","2","0","0","0","0",0,"0","10","0","0","6","0","0","0","0","0","0","0","5","4","1","27","0",0,"0","2","0","5","0","1","0","0","0","2","0","0","0",0,"0","0","0","0","0","0","0","2","0","0","0","3","0","0","0",0,0,"0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-03-17,"3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","10",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","4","0","25","0","0","1","0","3","0","0","0","0",0,"0","15","0","0","6","0","0","0","0","0","0","0","5","6","1","33","0",0,"0","2","0","7","0","1","0","0","0","2","0","0","0",0,"0","0","0","0","0","0","0","2","0","0","0","4","0","0","0",0,0,"0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2020-03-18,"5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","19",0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","6","0","28","0","0","1","0","3","0","0","0","0",0,"0","18","0","0","7","0","0","0","0","0","0","0","8","6","2","49","0",0,"0","3","0","7","0","3","0","0","0","2","1","0","0",0,"0","0","0","0","0","0","0","2","0","0","0","5","0","0","0",0,0,"0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
2020-03-19,"8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","26",0,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","16","0","6","0","37","0","0","1","0","3","0","0","0","0",0,"0","22","0","0","20","0","2","0","0","0","0","0","9","6","3","66","0",0,"2","4","0","12","0","5","0","0","0","3","1","0","0",0,"0","0","0","0","0","0","2","3","0","0","0","6","0","0","0",0,0,"0","0","0","0","0","0","1","3","3","1","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
2020-03-20,"9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","0","54",0,"0","1","0","0","0","0","0","0","0","0","0","0","7","0","1","2","0","0","16","0","10","0","47","0","0","1","0","6","0","0","0","1",0,"0","36","0","0","44","1","2","0","1","0","0","0","9","7","3","88","0",0,"2","3","0","23","0","6","0","0","1","6","2","0","0",0,"0","0","0","0","1","0","2","13","0","0","0","7","0","0","0",0,0,"0","1","0","1","0","0","1","4","3","1","2","0","0","3","0","0","0","1","8","1","0","0","0","2","0","2","0","0","0","0","2","0","1","0","0","0","2","1","0","0","31","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
2020-03-21,"9","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","2","56",0,"0","1","0","0","0","0","0","0","0","0","0","0","14","0","1","4","0","0","17","0","13","0","50","0","0","3","0","8","0","0","0","1",0,"0","41","0","0","47","4","2","0","1","0","0","0","9","8","4","99","0",0,"2","4","0","23","0","9","0","0","1","7","1","0","0",0,"0","0","0","0","1","0","2","14","0","1","0","7","1","0","0",0,0,"0","1","0","1","0","0","2","4","4","2","2","0","0","4","0","0","0","1","10","2","0","0","0","2","0","2","0","0","0","0","2","0","2","0","0","0","4","1","0","0","37","0","0","0","0","0","0","0","0","0","1","0","0","0","2"
2020-03-22,"10","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0","0","2","56",0,"0","1","0","0","0","0","0","0","2","0","0","0","16","0","1","4","0","1","18","0","13","1","67","1","0","3","0","9","0","0","0","1",0,"0","53","0","0","52","4","2","0","2","0","0","0","9","9","5","111","0",0,"4","4","0","27","0","9","0","0","1","7","1","0","0",0,"0","0","0","0","3","0","2","16","0","1","0","8","1","0","0",0,0,"0","1","0","1","0","0","2","4","4","3","2","0","0","4","0","0","0","1","10","2","0","0","0","2","0","2","0","1","0","0","2","0","2","0","0","0","4","1","1","0","27","0","0","0","0","0","0","0","0","0","2","0","0","0","2"
2020-03-23,"14","1","0","1","3","0","0","0","0","0","0","0","0","1","0","0",0,"0","0","0","0","2","61",0,"0","2","0","0","0","0","0","1","2","0","0","0","21","1","1","4","0","1","24","0","19","1","79","1","0","3","0","9","0","0","0","1",0,"0","74","0","0","69","7","2","0","2","0","0","0","11","10","7","152","0",0,"4","6","0","35","0","10","0","1","1","9","1","0","0",0,"0","0","0","0","3","0","2","19","1","1","0","8","2","0","0",0,0,"0","1","0","1","0","0","2","4","5","3","3","1","0","4","0","0","0","1","11","5","0","0","0","4","0","2","0","1","0","0","2","0","2","0","0","0","4","1","1","0","46","0","0","0","0","1","0","0","0","0","2","0","0","0","3"
2020-03-24,"17","2","0","1","5","0","1","0","0","0","1","0","0","1","0","2",0,"0","0","0","3","2","76",1,"0","4","0","0","0","2","0","1","2","0","1","0","26","1","1","7","0","1","30","0","21","1","90","2","1","6","0","10","0","3","0","1",0,"0","107","0","0","101","12","5","0","3","0","0","1","12","12","8","191","0",0,"5","8","0","46","0","16","0","1","1","13","5","1","1",0,"0","0","0","0","3","0","6","24","1","1","0","11","3","1","0",0,0,"1","1","4","3","0","0","4","6","6","3","4","1","0","8","1","0","0","1","10","8","0","0","2","5","0","4","0","1","0","1","3","0","4","0","0","0","6","1","1","0","79","0","0","0","0","1","0","0","0","0","2","0","0","0","4"
2020-03-25,"21","2","1","2","6","0","0","0","0","0","1","0","0","1","0","1",0,"0","0","0","3","2","82",1,"0","6","0","0","0","3","0","1","3","0","1","0","50","1","1","7","0","1","36","0","29","1","109","2","2","10","0","10","0","3","0","1",0,"1","125","1","0","123","18","6","0","3","0","0","1","12","14","10","204","0",0,"5","9","0","69","0","19","0","1","1","20","6","2","2",0,"0","0","0","1","3","0","7","25","1","1","1","12","3","1","0",0,0,"1","2","4","3","0","0","4","8","6","5","4","1","0","9","1","0","0","1","10","10","0","0","2","10","0","5","0","1","1","0","4","1","5","0","0","0","7","1","2","0","160","0","0","1","0","2","0","0","0","1","4","0","1","0","3"
2020-03-26,"29","5","2","3","7","0","0","0","0","1","1","0","0","1","0","1",0,"0","0","0","1","2","93",0,"0","8","0","0","0","3","0","3","3","1","2","0","52","1","1","9","0","1","44","0","37","1","119","2","4","10","0","14","0","4","0","2",0,"2","137","1","0","164","18","7","0","3","0","0","1","14","17","15","231","0",0,"6","9","0","79","0","22","1","1","1","29","9","3","2",0,"0","0","0","1","3","0","8","29","1","3","1","14","4","1","0",0,0,"3","2","10","3","0","0","6","12","7","5","4","1","0","10","1","0","0","2","11","13","0","0","2","11","0","7","0","2","1","0","5","1","7","1","0","0","10","2","2","0","178","0","0","2","0","2","0","0","0","1","6","0","1","0","6"
